Attainment	number of people	unemployed
Less than HS	521,957	181,027
Grade 12	1,445,406	311,063
1 year of college	822,712	130,802
2 years of college	345,687	40,083
4 years of college	684,848	68,391
5+ years of college	348,346	25,107
